,uid,issue,pull,push,star,repo,name,year,quarter,norm_issue,norm_pull,norm_push,norm_star,norm_use
24,VimL__2012__2,220.0,77.0,879.0,2064.0,0.0,VimL,2012,2,0.0075425123422929235,0.00454438149197356,0.008903159152832501,0.017490191426077672,0.009620061103294164
25,Smalltalk__2012__2,207.0,11.0,1120.0,0.0,0.0,Smalltalk,2012,2,0.007096818431157433,0.0006491973559962229,0.011344184586089193,0.0,0.004772550093310712
26,Makefile__2012__2,202.0,62.0,558.0,121.0,0.0,Makefile,2012,2,0.006925397696105321,0.003659112370160529,0.005651834820569438,0.0010253455244938945,0.004315422602832295
27,Objective-J__2012__2,201.0,127.0,296.0,174.0,0.0,Objective-J,2012,2,0.006891113549094899,0.007495278564683664,0.0029981059263235726,0.0014744638120821293,0.004714740463046066
28,ColdFusion__2012__2,147.0,108.0,573.0,0.0,0.0,ColdFusion,2012,2,0.00503976961053209,0.006373937677053824,0.005803765864133132,0.0,0.004304368287929761
29,D__2012__2,144.0,46.0,766.0,220.0,0.0,D,2012,2,0.004936917169500823,0.0027148253068932956,0.0077586119579860025,0.0018642645899888991,0.004318654756092255
30,LiveScript__2012__2,142.0,44.0,327.0,192.0,0.0,LiveScript,2012,2,0.004868348875479978,0.0025967894239848914,0.0033120967496885413,0.0016269945512630392,0.003101057400104112
31,Common Lisp__2012__2,131.0,81.0,1022.0,470.0,0.0,Common Lisp,2012,2,0.004491223258365332,0.0047804532577903685,0.010351568434806389,0.0039827470786126485,0.005901498007393685
32,Haxe__2012__2,113.0,55.0,410.0,253.0,0.0,Haxe,2012,2,0.003874108612177729,0.003245986779981114,0.004152781857407651,0.002143904278487234,0.003354195382013432
33,OCaml__2012__2,110.0,36.0,1510.0,299.0,0.0,OCaml,2012,2,0.0037712561711464618,0.002124645892351275,0.015294391718745252,0.002533705056394004,0.005930999709659248
34,Factor__2012__2,106.0,7.0,311.0,0.0,0.0,Factor,2012,2,0.0036341195831047723,0.00041312559017941453,0.003150036969887267,0.0,0.0017993205357928635
35,Brightscript__2012__2,104.0,3.0,0.0,0.0,0.0,Brightscript,2012,2,0.0035655512890839275,0.00017705382436260624,0.0,0.0,0.0009356512783616335
36,JavaScript__2012__3,33880.0,18785.0,112211.0,121938.0,0.0,JavaScript,2012,3,1.0,1.0,1.0,1.0,1.0
37,Python__2012__3,24381.0,18185.0,105105.0,42584.0,0.0,Python,2012,3,0.7196280991735537,0.9680596220388608,0.9366728752083129,0.3492266561695288,0.743396813147564
38,Ruby__2012__3,21241.0,17742.0,90042.0,65990.0,0.0,Ruby,2012,3,0.6269480519480519,0.9444769763108863,0.8024346989154361,0.5411766635503289,0.7287590976811759
39,PHP__2012__3,15788.0,16931.0,73644.0,22819.0,0.0,PHP,2012,3,0.46599763872491146,0.9013042321000798,0.6562992932956662,0.1871360855516738,0.5526843124180829
40,Java__2012__3,14990.0,8966.0,71873.0,19858.0,0.0,Java,2012,3,0.442443919716647,0.4772957146659569,0.6405165269002148,0.16285325329265693,0.4307773536438689
41,C++__2012__3,11492.0,5074.0,52274.0,11277.0,0.0,C++,2012,3,0.33919716646989373,0.2701091296247006,0.46585450624270347,0.09248142498646854,0.2919105568309416
42,C__2012__3,6822.0,4434.0,54830.0,16757.0,0.0,C,2012,3,0.201357733175915,0.23603939313281874,0.48863302171801337,0.13742229657694893,0.265863111150924
43,Objective-C__2012__3,4088.0,1827.0,11469.0,36059.0,0.0,Objective-C,2012,3,0.1206611570247934,0.09725845089166889,0.1022092308240725,0.2957158555987469,0.15396117358482042
44,C#__2012__3,3908.0,1811.0,14088.0,5233.0,0.0,C#,2012,3,0.1153482880755608,0.09640670747937184,0.12554918858222455,0.04291525201331824,0.09505485903761887
45,HTML__2012__3,2860.0,1493.0,11762.0,11049.0,0.0,HTML,2012,3,0.08441558441558442,0.07947830715996806,0.10482038302840185,0.09061162229985731,0.08983147422595292
46,Shell__2012__3,1864.0,2111.0,15377.0,7757.0,0.0,Shell,2012,3,0.05501770956316411,0.11237689645994144,0.1370364759248202,0.0636142957896636,0.09201134443439735
47,CoffeeScript__2012__3,1681.0,862.0,6111.0,6238.0,0.0,CoffeeScript,2012,3,0.04961629279811098,0.045887676337503326,0.05445990143568812,0.05115714543456511,0.05028025400146688
48,AutoHotkey__2012__3,1511.0,11.0,246.0,0.0,0.0,AutoHotkey,2012,3,0.04459858323494687,0.0005855735959542187,0.0021922984377645686,0.0,0.011844113817166414
49,CSS__2012__3,1417.0,579.0,6565.0,8503.0,0.0,CSS,2012,3,0.041824085005903185,0.030822464732499336,0.05850585058505851,0.06973215896603192,0.05022113982237324
50,Go__2012__3,1395.0,543.0,6694.0,4936.0,0.0,Go,2012,3,0.041174734356552535,0.028906042054830983,0.059655470497544806,0.04047958798733783,0.04255395872406654
51,Haskell__2012__3,1382.0,617.0,7602.0,2039.0,0.0,Haskell,2012,3,0.04079102715466352,0.032845355336704816,0.06774736879628557,0.016721612622808312,0.03952634097761555
52,Scala__2012__3,994.0,2491.0,7240.0,3438.0,0.0,Scala,2012,3,0.02933884297520661,0.13260580250199627,0.06452130361551006,0.028194656300743002,0.063665151348364
53,Objective-C++__2012__3,782.0,10.0,333.0,4626.0,0.0,Objective-C++,2012,3,0.0230814639905549,0.0005323396326856535,0.0029676234950227697,0.037937312404664664,0.016129684880731996
54,Emacs Lisp__2012__3,652.0,553.0,3467.0,1106.0,0.0,Emacs Lisp,2012,3,0.0192443919716647,0.029438381687516637,0.03089714912085268,0.009070183207859732,0.022162526496973436
55,Perl__2012__3,647.0,729.0,6807.0,1434.0,0.0,Perl,2012,3,0.01909681227863046,0.03880755922278414,0.06066250189375373,0.011760074792107465,0.03258173704681895
56,Clojure__2012__3,641.0,546.0,3425.0,2086.0,0.0,Clojure,2012,3,0.018919716646989375,0.02906574394463668,0.030522854265624583,0.01710705440469747,0.023903842315487027
57,Jupyter Notebook__2012__3,531.0,18.0,121.0,0.0,0.0,Jupyter Notebook,2012,3,0.015672963400236127,0.0009582113388341763,0.001078325654347613,0.0,0.004427375098354479
58,Erlang__2012__3,521.0,630.0,3474.0,2334.0,0.0,Erlang,2012,3,0.01537780401416765,0.03353739685919617,0.03095953159672403,0.019140874870836,0.024753901835230963
59,Lua__2012__3,509.0,434.0,2883.0,790.0,0.0,Lua,2012,3,0.015023612750885477,0.02310354005855736,0.025692668276728663,0.00647870229132838,0.01757463084437497
60,OCaml__2012__3,406.0,58.0,1623.0,343.0,0.0,OCaml,2012,3,0.011983471074380166,0.00308756986957679,0.014463822619885752,0.0028129049188932082,0.008086942120683978
61,Groovy__2012__3,395.0,387.0,2901.0,535.0,0.0,Groovy,2012,3,0.011658795749704841,0.020601543784934787,0.025853080357540706,0.004387475602355295,0.01562522387363391
62,XSLT__2012__3,296.0,120.0,508.0,170.0,0.0,XSLT,2012,3,0.008736717827626918,0.006388075592227841,0.004527185391806508,0.0013941511259820565,0.005261532484410831
63,Factor__2012__3,285.0,6.0,321.0,0.0,0.0,Factor,2012,3,0.008412042502951593,0.00031940377961139205,0.0028606821078147418,0.0,0.0028980320975944317
64,VimL__2012__3,272.0,115.0,832.0,1939.0,0.0,VimL,2012,3,0.008028335301062573,0.006121905775885015,0.007414602846423256,0.01590152372517181,0.009366591912135663
65,Objective-J__2012__3,258.0,143.0,437.0,178.0,0.0,Objective-J,2012,3,0.007615112160566706,0.007612456747404845,0.0038944488508256764,0.0014597582377929767,0.0051454439991475516
66,ActionScript__2012__3,233.0,80.0,859.0,671.0,0.0,ActionScript,2012,3,0.006877213695395514,0.004258717061485228,0.0076552209676413185,0.00550279650314094,0.00607348705691575
67,Makefile__2012__3,181.0,48.0,420.0,203.0,0.0,Makefile,2012,3,0.005342384887839433,0.0025552302368911364,0.003742948552280971,0.0016647804622021028,0.0033263360348034106
68,LiveScript__2012__3,172.0,44.0,120.0,168.0,0.0,LiveScript,2012,3,0.005076741440377804,0.002342294383816875,0.0010694138720802773,0.0013777493480293264,0.002466549761076071
69,Smalltalk__2012__3,159.0,53.0,766.0,0.0,0.0,Smalltalk,2012,3,0.004693034238488784,0.002821400053233963,0.006826425216779104,0.0,0.0035852148771254627
70,TypeScript__2012__3,157.0,236.0,1682.0,238.0,0.0,TypeScript,2012,3,0.004634002361275089,0.012563215331381421,0.014989617773658554,0.001951811576374879,0.008534661760672486
71,Haxe__2012__3,153.0,55.0,494.0,280.0,0.0,Haxe,2012,3,0.004515938606847698,0.002927867979771094,0.004402420440063808,0.0022962489133822104,0.0035356189850162026
72,D__2012__3,134.0,68.0,1011.0,138.0,0.0,D,2012,3,0.003955135773317592,0.0036199095022624436,0.009009811872276336,0.0011317226787383753,0.004429144956648687
73,DCPU-16 ASM__2012__3,132.0,3.0,215.0,0.0,0.0,DCPU-16 ASM,2012,3,0.003896103896103896,0.00015970188980569602,0.0019160331874771635,0.0,0.0014929597433466888
74,Pony__2012__3,114.0,0.0,0.0,0.0,0.0,Pony,2012,3,0.0033648170011806376,0.0,0.0,0.0,0.0008412042502951594
75,Common Lisp__2012__3,105.0,62.0,857.0,312.0,0.0,Common Lisp,2012,3,0.0030991735537190084,0.0033005057226510514,0.007637397403106648,0.0025586773606258916,0.00414893851002565
76,Matlab__2012__3,101.0,27.0,523.0,0.0,0.0,Matlab,2012,3,0.0029811097992916173,0.0014373170082512643,0.004660862125816542,0.0,0.0022698222333398556
77,JavaScript__2012__4,39218.0,20845.0,131938.0,142545.0,0.0,JavaScript,2012,4,1.0,0.9351307702660266,1.0,1.0,0.9837826925665066
78,Python__2012__4,26929.0,22291.0,117851.0,48940.0,0.0,Python,2012,4,0.6866489877097252,1.0,0.8932301535569738,0.3433301764355116,0.7308023294255526
79,Ruby__2012__4,23951.0,22169.0,101769.0,77908.0,0.0,Ruby,2012,4,0.610714467846397,0.9945269391234131,0.7713395685852446,0.5465502122136869,0.7307827969421854
80,PHP__2012__4,20683.0,17608.0,84267.0,24699.0,0.0,PHP,2012,4,0.5273853842623285,0.7899152124175677,0.6386863526808046,0.17327159844259707,0.5323146369508245
81,Java__2012__4,18133.0,11616.0,90287.0,24199.0,0.0,Java,2012,4,0.46236422051098985,0.5211071732986408,0.6843138443814519,0.16976393419621874,0.45938729309682536
82,C++__2012__4,13839.0,6094.0,57530.0,12540.0,0.0,C++,2012,4,0.3528736804528533,0.2733838769009914,0.4360381391259531,0.08797221929916868,0.28756697894474165
83,C__2012__4,11713.0,5753.0,62699.0,17832.0,0.0,C,2012,4,0.298663878831149,0.2580862231393836,0.4752156315845321,0.125097337682837,0.28926576780947544
84,Objective-C__2012__4,5091.0,2144.0,13732.0,41837.0,0.0,Objective-C,2012,4,0.1298128410423785,0.09618231573280696,0.10407918870984857,0.29350029815146095,0.15589366090912374
85,C#__2012__4,4782.0,2224.0,14841.0,5431.0,0.0,C#,2012,4,0.12193380590545158,0.09977120811089678,0.11248465188194455,0.03810024904416149,0.0930724787356136
86,HTML__2012__4,4198.0,1892.0,13966.0,12242.0,0.0,HTML,2012,4,0.10704268448161558,0.08487730474182406,0.10585274901847838,0.0858816514083272,0.09591359741256131
87,Haskell__2012__4,2952.0,785.0,10015.0,2146.0,0.0,Haskell,2012,4,0.07527155897802029,0.03521600646000628,0.07590686534584426,0.01505489494545582,0.05036233143233166
88,CoffeeScript__2012__4,2269.0,934.0,7697.0,6576.0,0.0,CoffeeScript,2012,4,0.05785608649089704,0.04190031851419856,0.058338007245827585,0.046132800168367884,0.051056803104822766
89,CSS__2012__4,2188.0,866.0,9924.0,7615.0,0.0,CSS,2012,4,0.05579070834820746,0.03884975999282222,0.07521714744804378,0.053421726472342064,0.05581983556535388
90,Shell__2012__4,1975.0,2177.0,18597.0,7293.0,0.0,Shell,2012,4,0.05035952878780152,0.09766273383876901,0.14095256863072048,0.05116279069767442,0.08503440548874136
91,Go__2012__4,1515.0,858.0,8049.0,7009.0,0.0,Go,2012,4,0.038630220816971796,0.038490870755013236,0.06100592702633055,0.04917043740573152,0.046824364001011774
92,Scala__2012__4,1478.0,2137.0,8613.0,3773.0,0.0,Scala,2012,4,0.037686776480187666,0.0958682876497241,0.06528066212918189,0.026468834403170927,0.056326140165566155
93,Lua__2012__4,1377.0,564.0,3767.0,933.0,0.0,Lua,2012,4,0.03511142842572288,0.025301691265533176,0.028551289241916657,0.006545301483741976,0.023877427604228674
94,Emacs Lisp__2012__4,805.0,530.0,3192.0,1315.0,0.0,Emacs Lisp,2012,4,0.02052628894895201,0.023776412004845003,0.0241931816459246,0.009225156967975025,0.019430259891924158
95,Perl__2012__4,715.0,1021.0,7518.0,1484.0,0.0,Perl,2012,4,0.018231424345963587,0.045803238975371224,0.056981309402901366,0.010410747483250903,0.03285668005187177
96,Clojure__2012__4,596.0,612.0,3119.0,2137.0,0.0,Clojure,2012,4,0.015197103370901117,0.02745502669238706,0.023639891464172565,0.014991756989021011,0.02032094462912044
97,Erlang__2012__4,571.0,778.0,4303.0,2393.0,0.0,Erlang,2012,4,0.01455964098118211,0.03490197837692342,0.03261380345313708,0.01678768108316672,0.024715775973602333
98,VimL__2012__4,407.0,144.0,1050.0,2602.0,0.0,VimL,2012,4,0.010377887704625426,0.0064600062805616615,0.007958283436159409,0.018253884738152863,0.01076251553987484
99,OCaml__2012__4,383.0,67.0,1838.0,435.0,0.0,OCaml,2012,4,0.00976592381049518,0.0030056973666502174,0.013930785672058087,0.003051667894349153,0.007438518685888159
100,Matlab__2012__4,357.0,16.0,755.0,196.0,0.0,Matlab,2012,4,0.009102962925187414,0.0007177784756179624,0.005722384756476527,0.001375004384580308,0.004229532635465553
101,TypeScript__2012__4,348.0,456.0,2310.0,1062.0,0.0,TypeScript,2012,4,0.008873476464888572,0.020456686555111927,0.017508223559550697,0.007450278859307587,0.013572166359714696
102,XSLT__2012__4,312.0,52.0,844.0,133.0,0.0,XSLT,2012,4,0.007955530623693202,0.002332780045758378,0.006396944019160515,0.0009330386895366376,0.004404573344537183
103,Groovy__2012__4,304.0,395.0,2988.0,483.0,0.0,Groovy,2012,4,0.00775154265898312,0.017720156116818448,0.022647000864042203,0.003388403662001473,0.012876775825461312
104,Makefile__2012__4,263.0,63.0,673.0,191.0,0.0,Makefile,2012,4,0.006706104339843949,0.002826252747745727,0.005100880716700268,0.0013399277421165246,0.003993291386601617
105,Objective-C++__2012__4,248.0,15.0,211.0,1246.0,0.0,Objective-C++,2012,4,0.006323626906012545,0.0006729173208918398,0.0015992360047901288,0.008741099301974815,0.004334219883417333
106,Common Lisp__2012__4,212.0,102.0,1511.0,348.0,0.0,Common Lisp,2012,4,0.005405681064817176,0.0045758377820645105,0.011452348830511301,0.0024413343154793222,0.005968800498218078
107,F#__2012__4,149.0,70.0,674.0,200.0,0.0,F#,2012,4,0.0037992758427252793,0.0031402808308285857,0.005108460034258516,0.0014030656985513346,0.0033627706015909287
108,LiveScript__2012__4,144.0,25.0,105.0,121.0,0.0,LiveScript,2012,4,0.003671783364781478,0.0011215288681530663,0.0007958283436159409,0.0008488547476235575,0.0016094988310435105
109,ActionScript__2012__4,139.0,66.0,802.0,682.0,0.0,ActionScript,2012,4,0.0035442908868376765,0.002960836211924095,0.006078612681714139,0.004784454032060051,0.00434204845313399
110,PLpgSQL__2012__4,122.0,13.0,926.0,0.0,0.0,PLpgSQL,2012,4,0.003110816461828752,0.0005831950114395945,0.007018448058936773,0.0,0.0026781148830512798
111,Objective-J__2012__4,119.0,57.0,258.0,135.0,0.0,Objective-J,2012,4,0.0030343209750624714,0.002557085819388991,0.0019554639300277403,0.0009470693465221509,0.0021234850177503386
112,Groff__2012__4,112.0,0.0,61.0,0.0,0.0,Groff,2012,4,0.0028558315059411493,0.0,0.0004623383710530704,0.0,0.0008295424692485549
113,Haxe__2012__4,111.0,61.0,561.0,256.0,0.0,Haxe,2012,4,0.002830333010352389,0.002736530438293482,0.004251997150176598,0.0017959240941457083,0.0029036961732420443
114,Visual Basic__2012__4,108.0,20.0,88.0,0.0,0.0,Visual Basic,2012,4,0.0027538375235861084,0.000897223094522453,0.0006669799451257409,0.0,0.0010795101408085754
115,Racket__2012__4,101.0,4.0,300.0,0.0,0.0,Racket,2012,4,0.0025753480544647867,0.0001794446189044906,0.0022737952674741165,0.0,0.0012571469852108485
116,JavaScript__2013__1,59628.0,32746.0,185685.0,203515.0,0.0,JavaScript,2013,1,1.0,1.0,1.0,1.0,1.0
117,Java__2013__1,37504.0,17892.0,122450.0,36036.0,0.0,Java,2013,1,0.6289662574629369,0.546387345019239,0.6594501440611789,0.17706802938358351,0.5029679439817346
118,Python__2013__1,35894.0,30855.0,154419.0,71718.0,0.0,Python,2013,1,0.6019655195545717,0.9422524888536005,0.8316180628483723,0.3523966292410879,0.682058175124408
119,PHP__2013__1,35069.0,24810.0,111851.0,36337.0,0.0,PHP,2013,1,0.5881297377071175,0.7576497892872411,0.6023696044376229,0.1785470358450237,0.5316740418192514
120,Ruby__2013__1,33674.0,31327.0,139455.0,103643.0,0.0,Ruby,2013,1,0.5647346884014222,0.9566664630794601,0.7510299701106713,0.5092646733655996,0.6954239487392884
121,C++__2013__1,19763.0,7748.0,73506.0,17545.0,0.0,C++,2013,1,0.3314382504863487,0.23660905148720454,0.39586396316342193,0.08620986168095718,0.2625302817044831
122,C__2013__1,13743.0,7102.0,76197.0,26575.0,0.0,C,2013,1,0.23047896961159187,0.2168814511696085,0.4103562484853381,0.13058005552416282,0.24707418119767532
123,C#__2013__1,7233.0,3405.0,22546.0,7503.0,0.0,C#,2013,1,0.12130207285168042,0.1039821657607036,0.12142068556964752,0.0368670613959659,0.09589299639449936
124,Objective-C__2013__1,6964.0,3553.0,18561.0,64508.0,0.0,Objective-C,2013,1,0.11679076943717716,0.10850180174677823,0.09995960901526779,0.3169692651647299,0.16055536134098827
125,HTML__2013__1,4966.0,3078.0,18753.0,23378.0,0.0,HTML,2013,1,0.08328302139934259,0.09399621327795761,0.10099361822441232,0.114871139719431,0.09828599815528588
126,CSS__2013__1,3732.0,1858.0,17111.0,17279.0,0.0,CSS,2013,1,0.0625880458844838,0.05673975447382886,0.09215068530037429,0.0849028327150333,0.07409532959343007
127,Shell__2013__1,3247.0,3044.0,22369.0,10463.0,0.0,Shell,2013,1,0.05445428322264708,0.09295791852439993,0.12046745832996741,0.05141144387391593,0.07982277598773259
128,Scala__2013__1,3066.0,2987.0,11931.0,4890.0,0.0,Scala,2013,1,0.05141879653853894,0.09121724790814145,0.06425397851199613,0.02402771294499177,0.057729433975917066
129,CoffeeScript__2013__1,3001.0,1548.0,10570.0,10236.0,0.0,CoffeeScript,2013,1,0.05032870463540619,0.04727294936786172,0.056924361149258154,0.05029604697442449,0.05120551553173764
130,Go__2013__1,2478.0,1385.0,10127.0,9305.0,0.0,Go,2013,1,0.04155765747635339,0.04229524216698222,0.054538600317742415,0.04572144559369088,0.046028236388692224
131,Haskell__2013__1,1962.0,915.0,11928.0,3193.0,0.0,Haskell,2013,1,0.03290400482994566,0.02794234410309656,0.06423782211810324,0.01568926123381569,0.035193358071240285
132,Lua__2013__1,1332.0,408.0,4812.0,1246.0,0.0,Lua,2013,1,0.022338498691889717,0.012459537042692237,0.025914855804184508,0.006122398840380316,0.016708822594786697
133,Perl__2013__1,1232.0,1242.0,9457.0,1825.0,0.0,Perl,2013,1,0.02066143422553163,0.03792829658584255,0.05093033901499852,0.008967397980492838,0.029621866951716386
134,Emacs Lisp__2013__1,1068.0,926.0,4636.0,1498.0,0.0,Emacs Lisp,2013,1,0.017911048500704366,0.02827826299395346,0.024967014029135363,0.007360636808097684,0.01962924058297272
135,Objective-J__2013__1,733.0,240.0,890.0,229.0,0.0,Objective-J,2013,1,0.012292882538404777,0.007329139436877787,0.0047930635215553226,0.0011252241849495123,0.0063850774204468495
136,Clojure__2013__1,712.0,675.0,3516.0,2937.0,0.0,Clojure,2013,1,0.011940699000469578,0.020613204666218774,0.018935293642459,0.014431368695182174,0.01648014150108238
137,OCaml__2013__1,686.0,145.0,2401.0,516.0,0.0,OCaml,2013,1,0.011504662239216475,0.0044280217431136625,0.012930500578937448,0.0025354396481831807,0.00784965605236269
138,TypeScript__2013__1,642.0,988.0,4276.0,863.0,0.0,TypeScript,2013,1,0.010766753874018917,0.03017162401514689,0.02302824676198939,0.0042404736751590795,0.01705177458157857
139,Groovy__2013__1,633.0,487.0,4276.0,666.0,0.0,Groovy,2013,1,0.010615818072046689,0.014872045440664509,0.02302824676198939,0.0032724860575387565,0.012947149083059837
140,Erlang__2013__1,606.0,942.0,4355.0,3177.0,0.0,Erlang,2013,1,0.010163010666130005,0.028766872289745313,0.023453698467835314,0.015610642950151094,0.019498556093465434
141,VimL__2013__1,604.0,135.0,1305.0,3300.0,0.0,VimL,2013,1,0.010129469376802844,0.004122640933243755,0.007028031343404152,0.01621502100582267,0.009373790664818355
142,Objective-C++__2013__1,557.0,18.0,0.0,1051.0,0.0,Objective-C++,2013,1,0.009341249077614543,0.000549685457765834,0.0,0.005164238508218067,0.0037637932608996106
143,XSLT__2013__1,526.0,126.0,2060.0,193.0,0.0,XSLT,2013,1,0.008821359093043537,0.003847798204360838,0.011094057139779734,0.0009483330467041742,0.006177886870972071
144,ActionScript__2013__1,489.0,103.0,1419.0,769.0,0.0,ActionScript,2013,1,0.008200845240491044,0.0031454223416600502,0.007641974311333711,0.003778591258629585,0.005691708288028598
145,Jupyter Notebook__2013__1,442.0,123.0,632.0,607.0,0.0,Jupyter Notebook,2013,1,0.007412624941302744,0.0037561839613998657,0.0034036136467673747,0.002982581136525563,0.004388750921498887
146,Matlab__2013__1,409.0,80.0,950.0,255.0,0.0,Matlab,2013,1,0.006859193667404575,0.0024430464789592624,0.005116191399412984,0.0012529788959044787,0.003917852610420325
147,Julia__2013__1,299.0,136.0,720.0,129.0,0.0,Julia,2013,1,0.00501442275441068,0.004153179014230746,0.003877534534291946,0.0006338599120457952,0.0034197490537447917
148,SQF__2013__1,272.0,172.0,196.0,0.0,0.0,SQF,2013,1,0.0045616153484939964,0.005252549929762413,0.0010555510676683632,0.0,0.0027174290864811932
149,Common Lisp__2013__1,263.0,71.0,1499.0,473.0,0.0,Common Lisp,2013,1,0.004410679546521769,0.0021682037500763453,0.008072811481810594,0.002324153010834582,0.004243961947310823
150,Groff__2013__1,242.0,0.0,124.0,0.0,0.0,Groff,2013,1,0.00405849600858657,0.0,0.0006677976142391685,0.0,0.0011815734057064346
151,Haxe__2013__1,236.0,65.0,642.0,410.0,0.0,Haxe,2013,1,0.003957872140605085,0.0019849752641544005,0.0034574682930769854,0.0020145935189052402,0.002853727304185428
152,Standard ML__2013__1,236.0,51.0,576.0,0.0,0.0,Standard ML,2013,1,0.003957872140605085,0.0015574421303365296,0.0031020276274335568,0.0,0.002154335474593793
153,Makefile__2013__1,228.0,35.0,924.0,352.0,0.0,Makefile,2013,1,0.003823706983296438,0.0010688328345446773,0.004976169319007997,0.0017296022406210845,0.002899577844367549
154,Vala__2013__1,207.0,34.0,1023.0,0.0,0.0,Vala,2013,1,0.00347152344536124,0.0010382947535576865,0.00550933031747314,0.0,0.0025047871290980166
155,PLpgSQL__2013__1,206.0,27.0,765.0,0.0,0.0,PLpgSQL,2013,1,0.003454752800697659,0.000824528186648751,0.0041198804426851926,0.0,0.0020997903575079007
156,Cuda__2013__1,180.0,0.0,0.0,0.0,0.0,Cuda,2013,1,0.0030187160394445564,0.0,0.0,0.0,0.0007546790098611391
